Bias,J(pixel 3)
V,mA/cm^2
-0.2,-23.0247
-0.18,-22.9449
-0.16,-22.8651
-0.14,-22.7853
-0.12,-22.7853
-0.1,-22.8651
-0.08,-22.7454
-0.06,-22.7055
-0.04,-22.6257
-0.02,-22.5858
0,-22.6257
0.02,-22.6656
0.04,-22.506
0.06,-22.4262
0.08,-22.4262
0.1,-22.3863
0.12,-22.4262
0.14,-22.4661
0.16,-22.506
0.18,-22.506
0.2,-22.4661
0.22,-22.4661
0.24,-22.3863
0.26,-22.3065
0.28,-22.3065
0.3,-22.2267
0.32,-22.1868
0.34,-22.2666
0.36,-22.1868
0.38,-22.1069
0.4,-22.067
0.42,-22.0271
0.44,-21.9473
0.46,-21.9473
0.48,-21.8675
0.5,-21.8675
0.52,-21.8276
0.54,-21.7478
0.56,-21.7079
0.58,-21.5882
0.6,-21.5483
0.62,-21.5483
0.64,-21.4286
0.66,-21.3488
0.68,-21.3089
0.7,-21.1891
0.72,-21.0694
0.74,-20.9896
0.76,-20.83
0.78,-20.7502
0.8,-20.5108
0.82,-20.1915
0.84,-19.9521
0.86,-19.6728
0.88,-19.2737
0.9,-18.7949
0.92,-18.316
0.94,-17.6377
0.96,-16.8396
0.98,-15.7223
1,-14.166
1.02,-12.091
1.04,-9.17797
1.06,-5.34717
1.08,-0.159617
1.1,6.70391
1.12,15.7223
1.14,26.5363
1.16,39.6648
1.18,55.9856
1.2,75.2195
1.2,75.7382
1.18,56.2251
1.16,38.7869
1.14,24.5012
1.12,12.4102
1.1,4.42937
1.08,-3.51157
1.06,-8.85874
1.04,-12.5299
1.02,-15.1636
1,-16.9194
0.98,-18.2362
0.96,-19.154
0.94,-19.7925
0.92,-20.2713
0.9,-20.7103
0.88,-20.9896
0.86,-21.1891
0.84,-21.3887
0.82,-21.5084
0.8,-21.6281
0.78,-21.7478
0.76,-21.8276
0.74,-21.9074
0.72,-21.9473
0.7,-22.0271
0.68,-22.0271
0.66,-22.067
0.64,-22.1069
0.62,-22.1069
0.6,-22.1868
0.58,-22.1868
0.56,-22.1868
0.54,-22.2267
0.52,-22.2267
0.5,-22.2666
0.48,-22.2267
0.46,-22.2666
0.44,-22.3065
0.42,-22.3464
0.4,-22.3464
0.38,-22.3065
0.36,-22.3065
0.34,-22.3065
0.32,-22.3464
0.3,-22.3464
0.28,-22.4262
0.26,-22.4262
0.24,-22.506
0.22,-22.506
0.2,-22.5459
0.18,-22.5858
0.16,-22.5858
0.14,-22.6257
0.12,-22.6257
0.1,-22.6656
0.08,-22.6656
0.06,-22.7055
0.04,-22.6257
0.02,-22.5858
0,-22.506
-0.02,-22.5858
-0.04,-22.5858
-0.06,-22.6257
-0.08,-22.6656
-0.1,-22.7454
-0.12,-22.7454
-0.14,-22.7853
-0.16,-22.8252
-0.18,-22.7853
-0.2,-22.7853
,
,
Parameter,Pixel 3
Voc (V),1.08047
Jsc (mA/cm^2),-22.6257
FF (%),69.3803
Vmpp (V),0.88
Jmpp (mA/cm^2),-19.2737
Efficiency (%),16.9609
Voc (V),1.08884
Jsc (mA/cm^2),-22.506
FF (%),76.1039
Vmpp (V),0.92
Jmpp (mA/cm^2),-20.2713
Efficiency (%),18.6496
