FF(%),A,B,C,D,,A,B,C,D,,,,A,B,C,D
A- Sprayed Perovskite,67.9359,57.566,57.1164,67.2823,,72.618,26.6949,71.7879,75.1698,,,,67.9359,57.566,57.1164,67.2823
B- Sprayed Perovskite & spiro-OMeTAD,66.1212,70.5554,55.1213,57.137,,72.1824,73.3534,66.9782,73.5241,,,,66.1212,70.5554,55.1213,57.137
C-Sprayed SnO2 & Perovskite,73.1017,73.0402,65.8868,61.1497,,74.5259,74.0441,69.797,73.0402,,,,73.1017,73.0402,65.8868,61.1497
D- All three layers sprayed,65.1252,70.7172,51.5552,62.7427,,71.2688,72.468,64.4145,64.6432,,,,65.1252,70.7172,51.5552,62.7427
,71.4413,70.0394,49.6355,74.4168,,74.2661,72.5502,74.4064,76.9179,,,,71.4413,70.0394,49.6355,74.4168
,0,67.4397,63.8231,70.2213,,0,75.5508,60.5241,78.2813,,,,0,67.4397,63.8231,70.2213
,71.6971,76.2314,67.9247,57.1916,,76.5406,78.986,63.4603,74.5302,,,,71.6971,76.2314,67.9247,57.1916
,71.4013,67.0299,58.6073,42.6398,,76.5314,51.0418,69.3223,67.0284,,,,71.4013,67.0299,58.6073,42.6398
,76.3017,67.275,42.0555,52.6856,,77.9482,66.539,27.5097,64.5624,,,,76.3017,67.275,42.0555,52.6856
,70.449,70.6032,73.6563,67.9042,,76.6911,76.5089,76.0329,78.613,,,,70.449,70.6032,73.6563,67.9042
,69.1162,66.6805,62.4832,63.9009,,71.8729,74.0727,73.8794,68.9094,,,,69.1162,66.6805,62.4832,63.9009
,65.1905,68.9825,62.0079,71.7779,,71.5811,75.4085,62.4687,76.5981,,,,65.1905,68.9825,62.0079,71.7779
,75.0776,71.5302,69.8753,67.1525,,75.9832,72.0197,71.5545,73.557,,,,75.0776,71.5302,69.8753,67.1525
,62.7334,67.3733,69.3803,58.1785,,57.3603,72.4223,76.1039,70.2135,,,,62.7334,67.3733,69.3803,58.1785
,75.2367,68.261,36.2987,67.0709,,75.8517,71.4117,25.8781,62.9728,,,,75.2367,68.261,36.2987,67.0709
,65.1623,70.5008,65.4332,76.0423,,73.0381,75.2927,74.3051,76.032,,,,65.1623,70.5008,65.4332,76.0423
,73.0229,75.2366,70.8791,72.858,,76.3656,75.9816,75.9756,76.5815,,,,73.0229,75.2366,70.8791,72.858
,63.2649,75.3416,18.4288,70.6783,,71.9204,76.2991,13.8407,76.2528,,,,63.2649,75.3416,18.4288,70.6783
,73.801,71.622,67.1102,58.6269,,73.7851,74.2037,70.3387,68.8355,,,,73.801,71.622,67.1102,58.6269
,72.6979,66.3584,69.152,73.1718,,76.2495,66.0164,71.9168,78.0514,,,,72.6979,66.3584,69.152,73.1718
,70.2065,67.766,64.9318,77.5069,,73.0571,72.6278,73.6888,78.853,,,,70.2065,67.766,64.9318,77.5069
,65.3006,74.8361,35.5479,58.3712,,71.4,24.5769,36.4969,71.6962,,,,65.3006,74.8361,35.5479,58.3712
,74.1121,67.273,69.2623,52.8751,,76.6299,70.1302,74.6763,70.3194,,,,74.1121,67.273,69.2623,52.8751
,64.8196,63.4511,65.6627,66.2425,,69.984,70.2992,69.0467,72.6021,,,,64.8196,63.4511,65.6627,66.2425
,74.7026,63.3224,62.0719,61.1042,,75.8056,70.7636,71.7177,73.2542,,,,74.7026,63.3224,62.0719,61.1042
,65.743,71.478,62.0504,67.7999,,71.98,73.2775,62.5597,70.8922,,,,65.743,71.478,62.0504,67.7999
,69.2115,36.9267,67.612,74.3803,,75.1209,23.4286,73.3191,75.5934,,,,69.2115,36.9267,67.612,74.3803
,65.0292,72.675,67.615,69.9315,,72.1162,71.1874,65.6634,75.5416,,,,65.0292,72.675,67.615,69.9315
,77.2921,68.5805,59.68517143,71.4188,,76.979,71.4962,63.84512143,74.6426,,,,77.2921,68.5805,71.7879,71.4188
,69.8522,73.5112,12.85663963,40.1535,,74.7761,75.1581,16.35997943,69.7364,,,,69.8522,73.5112,66.9782,40.1535
,71.8235,69.9552,,69.2039,,73.7508,70.7249,,77.551,,,,71.8235,69.9552,69.797,69.2039
,57.5529,69.0474,,73.9557,,24.103,73.8943,,76.163,,,,57.5529,69.0474,64.4145,73.9557
,71.1903,70.1033,,70.0427,,74.4014,72.8015,,74.3248,,,,71.1903,70.1033,74.4064,70.0427
,65.3568,65.1821,,69.7007,,71.1627,70.3899,,76.4746,,,,65.3568,65.1821,60.5241,69.7007
,71.5951,67.5265,,66.084,,74.8502,70.7924,,73.2822,,,,71.5951,67.5265,63.4603,66.084
,71.038,73.4001,,63.279,,75.1334,73.9068,,73.9126,,,,71.038,73.4001,69.3223,63.279
,65.3418,70.1415,,25.943,,71.5187,72.9604,,22.9821,,,,65.3418,70.1415,27.5097,25.943
,65.3106,71.8245,,68.5199,,71.8971,74.4808,,69.3113,,,,65.3106,71.8245,76.0329,68.5199
,74.8338,66.8145,,59.7434,,76.7698,69.8586,,65.0099,,,,74.8338,66.8145,73.8794,59.7434
,68.6258,70.5863,,70.3947,,73.9952,74.2198,,72.3253,,,,68.6258,70.5863,62.4687,70.3947
,67.695395,68.6696425,,53.0622,,70.5502875,68.69601,,67.792,,,,72.618,26.6949,71.5545,53.0622
,11.82680473,6.30173495,,69.0874,,14.25933871,13.33456348,,74.8341,,,,72.1824,73.3534,76.1039,69.0874
,,,,69.1658,,,,,70.6838,,,,74.5259,74.0441,25.8781,69.1658
,,,,24.5898,,,,,62.618,,,,71.2688,72.468,74.3051,24.5898
,,,,63.30420682,,,,,71.47068864,,,,74.2661,72.5502,75.9756,75.1698
,,,,11.73325414,,,,,8.643786914,,,,0,75.5508,13.8407,73.5241
,,,,,,,,,,,,,76.5406,78.986,70.3387,73.0402
,,,,,,,,,,,,,76.5314,51.0418,71.9168,64.6432
,,,,,,,,,,,,,77.9482,66.539,73.6888,76.9179
,,,,,,,,,,,,,76.6911,76.5089,36.4969,78.2813
,,,,,,,,,,,,,71.8729,74.0727,74.6763,74.5302
,,,,,,,,,,,,,71.5811,75.4085,69.0467,67.0284
,,,,,,,,,,,,,75.9832,72.0197,71.7177,64.5624
,,,,,,,,,,,,,57.3603,72.4223,62.5597,78.613
,,,,,,,,,,,,,75.8517,71.4117,73.3191,68.9094
,,,,,,,,,,,,,73.0381,75.2927,65.6634,76.5981
,,,,,,,,,,,,,76.3656,75.9816,61.76514643,73.557
,,,,,,,,,,,,,71.9204,76.2991,14.89317016,70.2135
,,,,,,,,,,,,,73.7851,74.2037,,62.9728
,,,,,,,,,,,,,76.2495,66.0164,,76.032
,,,,,,,,,,,,,73.0571,72.6278,,76.5815
,,,,,,,,,,,,,71.4,24.5769,,76.2528
,,,,,,,,,,,,,76.6299,70.1302,,68.8355
,,,,,,,,,,,,,69.984,70.2992,,78.0514
,,,,,,,,,,,,,75.8056,70.7636,,78.853
,,,,,,,,,,,,,71.98,73.2775,,71.6962
,,,,,,,,,,,,,75.1209,23.4286,,70.3194
,,,,,,,,,,,,,72.1162,71.1874,,72.6021
,,,,,,,,,,,,,76.979,71.4962,,73.2542
,,,,,,,,,,,,,74.7761,75.1581,,70.8922
,,,,,,,,,,,,,73.7508,70.7249,,75.5934
,,,,,,,,,,,,,24.103,73.8943,,75.5416
,,,,,,,,,,,,,74.4014,72.8015,,74.6426
,,,,,,,,,,,,,71.1627,70.3899,,69.7364
,,,,,,,,,,,,,74.8502,70.7924,,77.551
