,A,B,C,D,,,A,B,C,D,,,A,B,C,D
Jsc,-21.9872,-20.3113,-21.2291,-22.5459,,,-22.1069,-20.2713,-21.3887,-22.6257,,,-21.9872,-20.3113,-21.2291,-22.5459
A- Sprayed Perovskite,-21.1492,-22.4262,-22.1069,-22.2267,,,-21.6281,-22.4661,-22.1868,-22.6656,,,-21.1492,-22.4262,-22.1069,-22.2267
B- Sprayed Perovskite & spiro-OMeTAD,-22.8651,-22.1868,-22.905,-21.5483,,,-23.0247,-22.2267,-23.0247,-21.9473,,,-22.8651,-22.1868,-22.905,-21.5483
C-Sprayed SnO2 & Perovskite,-20.4709,-22.2267,-21.7877,-19.154,,,-21.1093,-22.5858,-21.9872,-19.4733,,,-20.4709,-22.2267,-21.7877,-19.154
D- All three layers sprayed,-22.9449,-22.5858,-21.3887,-22.9449,,,-23.0247,-22.6656,-21.6281,-23.0646,,,-22.9449,-22.5858,-21.3887,-22.9449
,-0.199521,-21.4685,-22.8651,-21.5882,,,-0.199521,-21.7478,-23.1045,-21.7079,,,-0.199521,-21.4685,-22.8651,-21.5882
,-22.1868,-22.4262,-22.905,-20.7103,,,-22.2267,-22.1868,-22.9449,-21.0295,,,-22.1868,-22.4262,-22.905,-20.7103
,-21.9872,-22.7454,-20.1516,-21.1093,,,-22.1468,-22.7853,-20.431,-21.4286,,,-21.9872,-22.7454,-20.1516,-21.1093
,-22.4661,-21.7877,-20.6704,-21.5084,,,-22.4661,-21.9074,-21.0295,-21.7478,,,-22.4661,-21.7877,-20.6704,-21.5084
,-21.3887,-22.2666,-22.1069,-22.067,,,-21.5084,-22.3863,-22.2267,-21.9872,,,-21.3887,-22.2666,-22.1069,-22.067
,-21.7877,-20.7901,-22.0271,-19.6329,,,-22.2267,-21.2291,-22.3065,-19.9521,,,-21.7877,-20.7901,-22.0271,-19.6329
,-21.4685,-22.0271,-23.0247,-22.8252,,,-21.7877,-22.0271,-22.9848,-22.905,,,-21.4685,-22.0271,-23.0247,-22.8252
,-22.8252,-21.3089,-6.54429,-21.3089,,,-22.8651,-21.3887,-6.66401,-21.5084,,,-22.8252,-21.3089,-6.54429,-21.3089
,-20.5906,-22.2666,-22.6257,-21.1093,,,-21.4286,-22.3863,-22.506,-21.5084,,,-20.5906,-22.2666,-22.6257,-21.1093
,-22.506,-22.5459,-41.1014,-22.3464,,,-22.5459,-22.6257,-40.0239,-22.3863,,,-22.506,-22.5459,-41.1014,-22.3464
,-22.5459,-22.1069,-21.7079,-22.8651,,,-22.506,-22.1468,-21.8675,-23.0247,,,-22.5459,-22.1069,-21.7079,-22.8651
,-22.8651,-23.1045,-22.0271,-21.7478,,,-22.8651,-23.1045,-22.067,-21.7877,,,-22.8651,-23.1045,-22.0271,-21.7478
,-21.4286,-23.2243,-22.1069,-21.9074,,,-21.4286,-23.2243,-19.0742,-21.8276,,,-21.4286,-23.2243,-22.1069,-21.9074
,-22.4262,-21.5084,-12.3304,-21.1891,,,-22.5459,-21.5084,-12.5299,-21.2291,,,-22.4262,-21.5084,-12.3304,-21.1891
,-21.3488,-22.7853,-22.6257,-22.1069,,,-21.4685,-22.8651,-22.8252,-22.0271,,,-21.3488,-22.7853,-22.6257,-22.1069
,-22.506,-22.0271,-21.0295,-22.1069,,,-22.5858,-22.1868,-21.1093,-22.3065,,,-22.506,-22.0271,-21.0295,-22.1069
,-21.7478,-21.9872,-30.2075,-21.3089,,,-21.9872,-21.0295,-30.3671,-21.3488,,,-21.7478,-21.9872,-30.2075,-21.3089
,-22.8651,-22.1868,-21.269,-21.9473,,,-22.9449,-22.2267,-21.5483,-22.6257,,,-22.8651,-22.1868,-21.269,-21.9473
,-21.3089,-21.9872,-20.7502,-21.4685,,,-21.5084,-22.2267,-20.8699,-21.7877,,,-21.3089,-21.9872,-20.7502,-21.4685
,-22.4262,-21.8276,-21.4286,-21.8276,,,-22.5858,-22.1868,-21.8675,-22.1468,,,-22.4262,-21.8276,-21.4286,-21.8276
,-22.2267,-22.905,-21.9473,-21.7877,,,-22.3464,-22.8252,-21.8675,-21.8276,,,-22.2267,-22.905,-21.9473,-21.7877
,-22.3863,-22.067,-22.8651,-23.2642,,,-22.2666,-20.2713,-22.7055,-23.2642,,,-22.3863,-22.067,-22.8651,-23.2642
,-21.3488,-22.4262,-21.2291,-21.7478,,,-21.5483,-22.3464,-21.3089,-21.8675,,,-21.3488,-22.4262,-21.2291,-21.7478
,-22.5459,-21.3089,-21.96299607,-21.6281,,,-22.5858,-21.4685,-21.94446821,-21.7079,,,-22.5459,-21.3089,-21.3887,-21.6281
,-21.4685,-22.7853,5.374206308,-13.4477,,,-21.4685,-22.905,5.237653205,-13.5275,,,-21.4685,-22.7853,-22.1868,-13.4477
